restaurant_number,location,feedback,date_posted,Sentiment,Confidence
982-4175,"Richmond Hill, Canada","A bit disappointed with the price, was expecting something more amazing.",06-12-2022,NEGATIVE,0.961464524269104
628-4946,"Vancouver, Canada","The ambience was lacking, really made my day!",12-01-2022,NEGATIVE,0.9996026158332825
948-8598,"Toronto, Canada","The atmosphere is disappointing, it puts a damper on the meal when you dine.",18-11-2021,NEGATIVE,0.9989838004112244
597-6499,"Barrie, Canada","The seafood platter was excellent, just like you'd expect at a good restaurant.",11-12-2021,POSITIVE,0.9998506307601929
963-7301,"Toronto, Canada","A bit disappointed with the price, was expecting something more impressive.",19-01-2021,NEGATIVE,0.9543344974517822
229-7057,"Richmond Hill, Canada","A bit disappointed with the food quality, was expecting something more lacking.",14-11-2021,NEGATIVE,0.9997168183326721
750-8597,"North York, Canada","The atmosphere is impressive, it leaves a lot to be desired when you dine.",29-04-2022,NEGATIVE,0.740973174571991
756-9725,"Vancouver, Canada","Having an online reservation system is great, it adds a lot of convenience.",23-12-2022,POSITIVE,0.9997158646583557
643-4966,"North York, Canada","The staff were indifferent, which leaves a lot to be desired.",14-10-2021,NEGATIVE,0.9997425675392151
863-3432,"Calgary, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",03-11-2021,POSITIVE,0.9995131492614746
383-4860,"North York, Canada","The atmosphere is amazing, it puts a damper on the meal when you dine.",27-03-2022,POSITIVE,0.9997496008872986
774-6047,"Mississauga, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",22-12-2021,NEGATIVE,0.9997001886367798
875-3087,"Markham, Canada",I felt that the menu variety could be more impressive.,15-11-2022,POSITIVE,0.9436776041984558
583-4119,"Toronto, Canada","The staff were rude, which enhances the dining experience.",24-04-2022,POSITIVE,0.9983187913894653
875-8656,"Hamilton, Canada","The homemade pasta was excellent, just like you'd expect at a good restaurant.",25-09-2021,POSITIVE,0.9998397827148438
436-7227,"North York, Canada","The menu variety was excellent, really made my day!",04-08-2022,POSITIVE,0.9998636245727539
480-5281,"North York, Canada","The staff were rude, which puts a damper on the meal.",03-05-2021,NEGATIVE,0.997177004814148
